sex_F,age,famsize_GT3,traveltime,studytime,failures,schoolsup,famsup,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3,Mjob_health,Mjob_other,Mjob_services,Fjob_other,Fjob_teacher,reason_reputation,guardian_mother,guardian_other,parental_edu_avg
1,18,1,2,2,0,1,0,0,1,0,0,4,3,4,1,1,3,4,11,False,False,False,False,True,False,True,False,4.0
1,17,1,1,2,0,0,1,0,1,1,0,5,3,3,1,1,3,2,11,False,False,False,True,False,False,False,False,1.0
1,15,0,1,2,0,1,0,0,1,1,0,4,3,2,2,3,3,6,12,False,False,False,True,False,False,True,False,1.0
1,15,1,1,3,0,0,1,1,1,1,1,3,2,2,1,1,5,0,14,True,False,False,False,False,False,True,False,3.0
1,16,1,1,2,0,0,1,0,1,0,0,4,3,2,1,2,5,0,13,False,True,False,True,False,False,False,False,3.0
0,16,0,1,2,0,0,1,1,1,1,0,5,4,2,1,2,5,6,13,False,False,True,True,False,True,True,False,3.5
0,16,0,1,2,0,0,0,0,1,1,0,4,4,4,1,1,3,0,13,False,True,False,True,False,False,True,False,2.0
1,17,1,2,2,0,1,1,0,1,0,0,4,1,4,1,1,1,2,13,False,True,False,False,True,False,True,False,4.0
0,15,0,1,2,0,0,1,0,1,1,0,4,2,2,1,1,1,0,17,False,False,True,True,False,False,True,False,2.5
0,15,1,1,2,0,0,1,1,1,1,0,5,5,1,1,1,5,0,13,False,True,False,True,False,False,True,False,3.5
1,15,1,1,2,0,0,1,0,1,1,0,3,3,3,1,2,2,2,14,False,False,False,False,False,True,True,False,4.0
1,15,1,3,3,0,0,1,1,1,1,0,5,2,2,1,1,4,0,13,False,False,True,True,False,True,False,False,1.5
0,15,0,1,1,0,0,1,1,1,1,0,4,3,3,1,3,5,0,12,True,False,False,False,False,False,False,False,4.0
0,15,1,2,2,0,0,1,0,1,1,0,5,4,3,1,2,3,0,13,False,False,False,True,False,False,True,False,3.5
0,15,1,1,3,0,0,1,0,1,1,1,4,5,2,1,1,3,0,15,False,True,False,True,False,False,False,True,2.0
1,16,1,1,1,0,0,1,0,1,1,0,4,4,4,1,2,2,6,17,True,False,False,True,False,False,True,False,4.0
1,16,1,1,3,0,0,1,1,1,1,0,3,2,3,1,2,2,10,14,False,False,True,False,False,True,True,False,4.0
1,16,1,3,2,0,1,1,1,1,0,0,5,3,2,1,1,4,2,14,False,True,False,True,False,True,True,False,3.0
0,17,1,1,1,3,0,1,1,1,1,0,5,5,5,2,4,5,2,7,False,False,True,False,False,False,True,False,2.5
0,16,0,1,1,0,0,0,1,1,1,0,3,1,3,1,3,5,6,12,True,False,False,True,False,False,False,False,3.5
0,15,1,1,2,0,0,0,0,1,1,0,4,4,1,1,1,1,0,14,False,False,False,True,False,True,True,False,3.5
0,15,1,1,1,0,0,1,0,1,1,0,5,4,2,1,1,5,0,12,True,False,False,False,False,False,False,False,4.0
0,16,0,1,2,0,0,0,1,1,1,0,4,5,1,1,3,5,0,14,False,False,False,True,False,False,True,False,3.0
0,16,0,2,2,0,0,1,1,1,1,0,5,4,4,2,4,5,2,10,False,True,False,True,False,True,True,False,2.0
1,15,1,1,3,0,1,1,1,1,1,0,4,3,2,1,1,5,2,10,False,False,True,False,False,False,True,False,3.0
1,16,1,1,1,0,0,1,0,1,1,0,1,2,2,1,3,5,6,12,False,False,True,False,False,False,True,False,2.0
0,15,1,1,1,0,0,1,0,1,1,0,4,2,2,1,2,5,8,12,False,True,False,True,False,False,True,False,2.0
0,15,1,1,1,0,0,0,0,1,1,0,2,2,4,2,4,1,0,11,True,False,False,False,False,False,True,False,3.0
0,16,0,1,2,0,1,1,1,1,1,0,5,3,3,1,1,5,2,13,False,False,True,True,False,False,True,False,3.5
0,16,1,1,2,0,0,1,1,1,1,1,4,4,5,5,5,5,4,12,False,False,False,False,True,False,True,False,4.0
0,15,1,1,2,0,0,1,0,1,1,0,5,4,2,3,4,5,0,11,True,False,False,False,False,False,True,False,4.0
0,15,1,2,2,0,0,1,1,1,1,0,4,3,1,1,1,5,2,15,False,False,True,False,False,True,True,False,4.0
0,15,1,1,2,0,0,1,1,1,1,1,4,5,2,1,1,5,0,15,False,False,False,False,False,False,True,False,3.5
0,15,0,1,2,0,0,0,1,1,1,0,5,3,2,1,1,2,0,12,False,True,False,True,False,False,True,False,3.0
0,16,1,1,1,0,0,1,0,1,1,0,5,4,3,1,1,5,4,12,False,True,False,True,False,False,True,False,2.5
1,15,1,2,1,0,0,1,1,1,0,0,3,5,1,1,1,5,4,11,False,True,False,True,False,False,False,False,2.5
0,15,0,1,3,0,0,1,1,1,1,0,5,4,3,1,1,4,0,14,False,False,False,False,False,False,True,False,3.5
0,16,1,2,3,0,0,1,1,1,1,1,2,4,3,1,1,5,4,13,False,True,False,False,True,True,True,False,4.0
1,15,1,1,3,0,1,1,1,1,1,0,4,3,2,1,1,5,2,12,False,False,True,False,False,False,True,False,3.5
1,15,1,1,1,0,1,1,1,1,0,0,4,3,1,1,1,2,8,12,False,False,False,True,False,True,True,False,2.0
1,16,0,2,2,0,0,1,1,1,1,1,3,3,3,1,2,3,15,10,False,True,False,True,False,False,True,False,2.0
0,15,0,1,1,0,0,1,0,1,1,1,5,4,3,2,4,5,8,11,False,False,False,True,False,False,False,True,4.0
0,15,1,1,2,0,0,1,1,1,1,0,4,3,3,1,1,5,0,15,False,False,True,False,True,False,False,False,4.0
0,15,1,1,1,0,1,1,0,1,1,0,5,4,1,1,1,1,0,10,False,False,True,False,False,False,False,False,2.0
1,16,0,2,2,1,1,0,1,1,1,0,4,3,3,2,2,5,14,11,False,True,False,False,False,False,False,False,2.0
1,15,0,1,2,0,1,1,1,1,1,1,5,2,2,1,1,5,4,11,False,True,False,True,False,False,True,False,3.5
1,16,0,1,2,0,0,1,0,1,1,0,2,3,5,1,4,3,6,13,False,True,False,False,False,False,True,False,3.0
0,16,1,1,4,0,0,0,1,1,1,0,4,2,2,1,1,2,2,17,True,False,False,False,False,True,True,False,3.5
0,15,1,1,2,0,0,1,0,1,0,0,4,3,3,2,2,5,4,13,False,False,False,True,False,False,True,False,3.0
1,15,1,1,2,0,1,1,1,1,1,0,4,4,4,1,1,3,2,12,False,False,True,False,True,False,False,False,4.0
1,16,0,3,2,0,0,1,0,1,1,0,4,3,3,2,3,4,0,13,False,False,True,False,False,False,True,False,2.0
1,15,0,1,2,0,0,1,0,1,1,0,4,3,3,1,1,5,0,16,True,False,False,True,False,False,True,False,3.0
0,15,0,2,1,0,0,0,0,1,0,0,5,5,5,3,4,5,4,9,True,False,False,False,False,False,False,False,3.0
1,15,1,1,1,0,1,1,0,1,1,0,3,3,4,2,3,5,0,12,False,False,True,False,False,False,True,False,4.0
1,15,0,1,1,0,0,0,0,1,1,0,5,3,4,4,4,1,0,13,False,True,False,True,False,False,True,False,3.0
1,16,1,1,2,0,0,0,1,1,1,1,5,3,4,1,1,2,2,12,False,True,False,True,False,False,True,False,1.5
1,15,1,1,2,0,0,1,1,1,1,0,4,3,2,1,1,1,0,15,False,False,True,False,False,True,True,False,3.5
0,15,1,1,2,0,0,1,1,1,0,0,3,2,2,1,1,5,8,16,False,False,False,False,False,True,True,False,4.0
0,15,0,1,2,0,1,1,1,1,1,0,4,3,2,1,1,5,0,14,False,True,False,False,False,False,False,False,1.5
1,16,1,1,2,0,0,1,0,1,1,0,4,2,3,1,1,5,2,16,False,False,True,True,False,False,True,False,3.0
1,16,1,1,2,0,0,1,1,1,0,0,2,4,4,2,3,4,0,16,True,False,False,False,True,False,True,False,4.0
1,16,1,4,1,0,1,1,1,1,1,1,5,5,5,5,5,5,0,16,False,False,True,False,False,False,False,False,1.0
1,16,0,1,2,0,1,0,1,1,1,0,4,4,3,1,1,1,0,10,False,True,False,False,False,True,False,False,1.5
1,16,1,1,3,0,1,1,1,1,1,0,3,4,4,2,4,4,0,13,False,False,False,False,False,False,True,False,3.5
1,15,0,1,2,0,1,0,1,1,1,1,4,4,4,2,4,2,0,12,False,False,True,False,False,True,False,False,3.5
1,16,0,3,2,0,0,1,1,1,1,0,5,4,3,1,2,1,2,16,False,False,False,False,False,False,True,False,3.5
0,15,1,1,4,0,0,1,1,1,1,1,1,3,3,5,5,3,0,12,False,True,False,False,False,True,True,False,4.0
1,16,1,1,4,0,1,1,0,1,1,0,4,3,3,1,2,5,0,10,False,False,True,True,False,False,True,False,2.0
1,15,0,2,2,0,1,1,0,1,1,0,4,1,3,1,3,4,0,11,True,False,False,False,False,True,True,False,2.0
1,15,0,2,4,0,0,1,0,1,1,0,4,4,2,2,3,3,6,15,False,True,False,True,False,True,False,False,2.0
0,16,1,2,4,0,0,1,0,1,1,0,4,3,2,1,1,5,2,11,False,True,False,True,False,True,False,False,2.0
0,15,1,1,4,0,0,0,0,1,1,0,3,3,3,1,1,3,0,10,False,True,False,True,False,False,True,False,3.0
1,15,1,1,2,0,1,1,0,1,1,1,3,3,4,2,4,5,2,11,False,True,False,True,False,True,True,False,1.0
0,16,1,1,1,0,0,0,1,1,0,0,5,3,2,2,2,5,0,14,False,True,False,True,False,True,True,False,2.0
1,16,1,1,2,0,1,1,1,1,1,0,4,3,3,2,4,5,4,11,False,True,False,False,False,False,True,False,3.0
0,15,1,1,2,0,0,1,1,1,1,0,4,3,3,2,3,5,0,11,False,False,False,True,False,False,True,False,3.5
0,15,1,2,4,0,0,0,1,1,1,0,3,4,3,1,1,1,0,11,False,False,False,True,False,False,True,False,2.0
1,16,1,1,4,0,0,0,0,1,1,1,5,2,3,1,3,3,1,13,False,True,False,True,False,True,True,False,2.0
0,17,1,2,1,3,1,1,1,0,1,0,4,5,1,1,1,3,0,10,False,True,False,True,False,False,True,False,1.5
1,16,1,1,2,0,0,1,0,1,1,0,2,4,3,1,2,3,14,11,False,False,False,True,False,False,True,False,3.5
0,15,1,1,1,0,1,1,1,1,1,1,3,2,2,1,3,3,0,12,False,True,False,False,False,False,False,False,2.5
0,15,1,1,3,0,1,0,0,1,1,0,5,3,2,1,2,5,2,9,False,True,False,True,False,False,True,False,2.5
1,15,0,1,2,0,0,1,0,1,1,0,4,4,4,1,1,5,4,11,False,False,True,True,False,True,True,False,2.5
0,15,0,2,2,0,0,0,1,1,1,0,5,3,3,1,3,4,2,13,False,False,True,False,False,False,True,False,2.0
1,15,1,1,2,0,0,1,1,1,1,0,4,3,2,2,3,4,2,12,False,True,False,True,False,False,False,False,1.0
1,15,1,2,2,0,0,0,0,1,1,1,4,4,4,2,3,5,4,12,False,False,True,False,False,True,False,False,4.0
1,16,0,1,2,0,0,1,0,1,0,0,4,3,4,1,2,2,6,11,False,False,False,True,False,False,True,False,2.0
1,15,1,1,3,0,0,1,1,1,1,0,5,3,3,1,3,1,4,15,False,True,False,True,False,True,True,False,3.0
0,16,1,2,2,0,0,0,1,1,1,0,4,4,2,1,1,3,6,11,False,False,True,True,False,True,False,False,2.0
0,16,0,1,2,0,0,1,0,1,0,0,4,1,3,3,5,5,6,10,False,False,False,False,False,True,True,False,4.0
1,16,1,1,3,0,0,1,0,1,1,1,4,3,3,1,3,4,2,11,False,True,False,True,False,False,True,False,3.0
1,15,1,1,1,0,0,0,1,1,1,0,4,5,5,1,3,1,6,13,False,False,True,True,False,True,True,False,3.5
1,16,0,1,2,0,1,1,0,1,0,0,3,3,3,2,3,2,0,12,False,True,False,True,False,False,False,False,2.0
1,16,1,2,2,0,0,1,1,1,1,0,5,3,3,1,1,1,2,14,False,False,False,False,False,False,True,False,3.0
0,15,0,1,4,0,0,1,1,1,1,0,4,3,4,1,1,4,2,12,False,False,True,False,False,True,True,False,2.0
1,15,1,2,4,0,1,1,1,1,1,0,3,1,2,1,1,1,4,13,False,False,False,True,False,False,True,False,1.0
0,16,1,2,1,0,1,1,1,1,1,0,3,3,3,1,1,4,6,11,False,False,True,True,False,True,True,False,3.5
1,16,1,1,2,0,0,1,0,1,0,1,4,3,5,1,1,5,0,12,False,True,False,True,False,False,True,False,1.5
1,16,1,1,1,0,0,0,1,1,1,0,5,3,4,1,2,1,4,13,False,True,False,True,False,True,True,False,4.0
1,16,1,1,3,0,1,1,0,1,1,0,5,3,5,1,1,3,2,13,False,True,False,False,False,False,True,False,3.5
0,16,1,1,1,0,1,1,1,1,1,0,4,5,5,5,5,4,12,8,False,False,True,False,False,False,True,False,4.0
0,16,1,1,3,0,0,1,1,1,1,1,4,4,3,1,1,4,0,16,False,False,True,False,True,False,False,False,4.0
0,15,1,1,1,0,0,1,1,1,1,0,5,3,3,1,1,5,2,12,False,False,True,True,False,False,True,False,4.0
1,15,1,2,2,0,1,1,0,1,1,0,4,3,5,1,1,2,15,10,False,False,True,True,False,False,True,False,2.5
0,15,1,1,2,0,0,1,1,1,1,0,5,4,4,1,1,1,0,16,False,False,True,True,False,False,True,False,3.5
1,15,1,1,4,0,1,0,0,1,0,0,4,3,3,1,1,4,10,10,False,True,False,False,False,True,False,False,3.0
1,15,1,1,4,0,1,1,0,1,1,0,5,1,2,1,1,3,4,10,False,True,False,True,False,False,True,False,2.0
0,16,1,1,3,0,0,1,1,1,1,0,5,3,3,1,1,5,4,14,False,False,True,True,False,False,False,False,3.0
0,15,1,4,4,0,0,1,1,1,1,1,1,3,5,3,5,1,8,11,False,True,False,True,False,False,False,False,4.0
1,16,0,1,3,0,0,1,1,1,1,1,5,4,5,1,1,4,2,14,True,False,False,False,False,False,True,False,4.0
0,15,0,1,1,0,0,0,1,1,1,0,5,5,3,1,1,4,4,14,False,False,False,False,True,False,True,False,4.0
1,16,1,1,3,0,1,1,1,1,1,0,4,1,2,1,1,2,4,11,False,False,True,True,False,True,False,False,3.0
1,16,1,1,2,1,1,0,1,1,1,0,3,1,2,1,1,5,12,10,False,False,False,True,False,False,True,False,2.0
0,15,0,1,1,0,0,0,0,1,1,0,3,5,2,1,1,3,10,18,False,False,False,True,False,False,True,False,3.0
0,15,1,1,2,0,0,0,1,1,1,1,5,4,2,1,1,5,4,10,True,False,False,False,False,True,True,False,1.5
0,16,1,1,2,0,0,1,1,1,1,0,5,4,4,1,2,5,6,14,False,False,False,False,True,False,False,False,4.0
0,15,1,2,2,0,0,1,1,1,0,0,4,4,3,1,1,2,4,16,False,True,False,False,True,True,False,False,4.0
0,16,1,2,1,0,0,0,1,1,1,0,5,4,2,1,1,5,6,15,False,True,False,False,False,False,False,False,3.0
0,17,1,3,2,1,0,1,1,1,1,0,5,2,4,1,4,5,14,11,False,True,False,True,False,False,False,False,2.0
0,15,1,1,1,0,0,0,0,1,1,0,3,4,3,1,2,4,2,14,False,True,False,True,False,True,False,False,3.5
1,15,1,1,2,0,0,0,0,1,1,0,3,2,3,1,2,1,0,14,False,False,False,False,False,False,True,False,1.5
0,15,1,1,4,0,0,1,1,1,1,0,5,5,4,1,2,5,6,13,False,False,True,False,False,False,False,False,2.0
1,16,0,2,2,0,0,1,1,1,1,1,4,2,2,1,2,5,2,13,False,True,False,False,False,False,False,False,3.0
0,16,1,1,1,0,0,1,1,1,1,0,3,4,4,1,4,5,4,13,True,False,False,True,False,False,True,False,4.0
